node_name,node_type,has_metadata_transport_type,metadata_transport_type,declared_dependencies,declared_config_env_vars,publish_topics_count,subscribe_topics_count,handler_transports_detected,classification,classification_reason
node_rebase_effect,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_redeploy,workflow,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_release,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_retention_cleanup,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_review_thread_reconciler,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_routing_policy_engine,compute,false,,,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_rsd_fill_compute,COMPUTE_GENERIC,false,,,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_runtime_sweep,compute,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_seam_parallel_executor,orchestrator,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_semantic_analyzer_compute,COMPUTE,false,,,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_session_bootstrap,orchestrator,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_session_compose,ORCHESTRATOR_GENERIC,false,,handler_session_compose,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_session_orchestrator,orchestrator,true,kafka,,,2,1,kafka,config_required,"handler_transports=['kafka'], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_session_post_mortem,reducer,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_similarity_compute,COMPUTE,false,,ModelONEXContainer,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_skill_dispatch_engine_orchestrator,ORCHESTRATOR_GENERIC,false,,handler_skill_requested,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_skill_overseer_verify_orchestrator,ORCHESTRATOR_GENERIC,false,,handler_skill_requested,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_state_persist_effect,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_swarm_supervisor_orchestrator,orchestrator,true,kafka,,,3,2,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=3, subscribe=2"
node_sweep_outcome_classify,compute,true,kafka,,,1,3,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=3"
node_thread_reply_effect,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_ticket_classify_compute,COMPUTE_GENERIC,false,,,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_ticket_pipeline,compute,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_ticket_query,EFFECT_GENERIC,false,,ProtocolProjectTracker,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_ticket_work,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_two_strike_arbiter,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_verification_receipt_generator,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_verify_effect,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_version_skew_detector,compute,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_worker_stall_recovery,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
