node_name,node_type,has_metadata_transport_type,metadata_transport_type,declared_dependencies,declared_config_env_vars,publish_topics_count,subscribe_topics_count,handler_transports_detected,classification,classification_reason
node_ab_compare_orchestrator,orchestrator,false,,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_ab_compare_reducer,reducer,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_ab_inference_effect,effect,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_agent_coordinator_orchestrator,ORCHESTRATOR,false,,AdapterValkey|HandlerDb|HandlerKafka|HandlerSubscription|ProtocolSubscriptionManager,,0,0,,config_required,"handler_transports=[], declared_dep_transports=['kafka', 'postgres', 'valkey'], config_env_vars=0, publish=0, subscribe=0"
node_agent_learning_retrieval_effect,EFFECT,false,,ProtocolEmbeddingClient|qdrant,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_aislop_sweep,compute,false,,,,3,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=3, subscribe=1"
node_audit_trail_compactor,compute,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_authorize,effect,false,,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_auto_merge_effect,effect,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_autopilot_orchestrator,orchestrator,false,,,,6,1,valkey,needs_review,handler uses ['valkey'] but contract dependencies[] does not declare it
node_baseline_capture,compute,false,,,,1,1,postgres|valkey,needs_review,"handler uses ['postgres', 'valkey'] but contract dependencies[] does not declare it"
node_baseline_compare,compute,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_build_dispatch_effect,effect,false,,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_build_loop,compute,false,,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_build_loop_orchestrator,orchestrator,false,,,,12,2,kafka,config_required,"handler_transports=['kafka'], declared_dep_transports=[], config_env_vars=0, publish=12, subscribe=2"
node_bus_audit_compute,compute,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_ci_fix_effect,effect,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_ci_rerun_effect,effect,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_ci_watch,compute,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_close_out,compute,false,,,,3,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=3, subscribe=1"
node_closeout_effect,effect,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_code_embedding_effect,EFFECT,false,,ProtocolCodeEntityRepository|embedding_model|qdrant,CODE_EMBEDDING_BATCH_SIZE|CODE_EMBEDDING_VECTOR_SIZE|EMBEDDING_MODEL_URL|QDRANT_CODE_COLLECTION|QDRANT_HOST|QDRANT_PORT,1,1,,config_required,"handler_transports=[], declared_dep_transports=['postgres'], config_env_vars=6, publish=1, subscribe=1"
node_code_enrichment_effect,EFFECT,false,,ProtocolCodeEntityRepository|llm_coder|llm_fallback,CODE_ENRICHMENT_BATCH_SIZE|CODE_ENRICHMENT_CONFIDENCE_THRESHOLD|CODE_ENRICHMENT_VERSION|LLM_CODER_URL|LLM_FALLBACK_URL,1,1,,config_required,"handler_transports=[], declared_dep_transports=['llm', 'postgres'], config_env_vars=5, publish=1, subscribe=1"
node_coderabbit_triage,compute,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_compliance_sweep,compute,false,,,,2,1,postgres,needs_review,handler uses ['postgres'] but contract dependencies[] does not declare it
node_conflict_hunk_effect,effect,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_contract_sweep,compute,false,,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_coverage_sweep,compute,false,,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_create_ticket,compute,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_dashboard_sweep,compute,false,,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_data_flow_sweep,compute,false,,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_data_verification,compute,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_database_sweep,compute,false,,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_design_to_plan,compute,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_dispatch_queue_drainer,compute,false,,,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_dispatch_worker,compute,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_dispatch_worker_execution_effect,effect,false,,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_doc_freshness_sweep,compute,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_dod_sweep_orchestrator,orchestrator,false,,,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_dod_verify,compute,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_duplication_sweep,compute,false,,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_e2e_orchestrator,orchestrator,false,,,,0,0,kafka,needs_review,handler uses ['kafka'] but contract dependencies[] does not declare it
node_emit_daemon,service,false,,,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_env_parity_compute,compute,false,,,,0,0,,config_free,"no handler transports, no config env_vars, no topics, no transport deps"
node_environment_health_scanner,compute,false,,,,2,1,valkey,needs_review,handler uses ['valkey'] but contract dependencies[] does not declare it
